"type","genotype","N","mean","sd","se","gene","log2Mean","lineGroup"
"109","Cother","wt",3,127.511159942178,68.5707554702418,39.5893441292801,"Solyc01g006900",6.99447970892672,"wt.Solyc01g006900"
"110","Ambr","tf2",4,48.1678611365057,21.3013621500143,10.6506810750071,"Solyc01g006940",5.58999895827114,"tf2.Solyc01g006940"
"111","Ambr","wt",3,112.313289448489,108.107525533611,62.4159089682547,"Solyc01g006940",6.81138483422818,"wt.Solyc01g006940"
"112","Aother","tf2",4,45.1271716836261,42.8485128932965,21.4242564466483,"Solyc01g006940",5.49592445629014,"tf2.Solyc01g006940"
"113","Aother","wt",5,42.9812813525241,14.3416281680685,6.41377109836538,"Solyc01g006940",5.42563658773628,"wt.Solyc01g006940"
"114","Bmbr","tf2",3,30.640112332112,17.0283923490333,9.83134690658094,"Solyc01g006940",4.93734968133704,"tf2.Solyc01g006940"
"115","Bmbr","wt",4,28.5292422842703,11.6070281440797,5.80351407203983,"Solyc01g006940",4.83436952539472,"wt.Solyc01g006940"
"116","Bother","tf2",4,53.0511148201136,2.91872183446981,1.4593609172349,"Solyc01g006940",5.72931116324795,"tf2.Solyc01g006940"
"117","Bother","wt",4,36.2890359068672,17.8256578121118,8.9128289060559,"Solyc01g006940",5.18146182404251,"wt.Solyc01g006940"
"118","Cmbr","tf2",4,49.4140558383307,14.2121767183227,7.10608835916134,"Solyc01g006940",5.62684956997465,"tf2.Solyc01g006940"
"119","Cmbr","wt",6,27.7980283703718,15.0870399343956,6.15925826137704,"Solyc01g006940",4.79691065549229,"wt.Solyc01g006940"
"120","Cother","tf2",4,62.9103643807236,43.7603348298872,21.8801674149436,"Solyc01g006940",5.97522581324618,"tf2.Solyc01g006940"
"121","Cother","wt",3,37.3622597272842,17.0500950448359,9.84387696384471,"Solyc01g006940",5.2235098090023,"wt.Solyc01g006940"
"122","Ambr","tf2",4,7.36999930597103,7.44764310457846,3.72382155228923,"Solyc01g007890",2.88166448346252,"tf2.Solyc01g007890"
"123","Ambr","wt",3,4.57804041721614,2.49358683951306,1.43967303304057,"Solyc01g007890",2.19473019977868,"wt.Solyc01g007890"
"124","Aother","tf2",4,4.99361406736164,3.9060616151965,1.95303080759825,"Solyc01g007890",2.32008432654877,"tf2.Solyc01g007890"
"125","Aother","wt",5,5.94477786613443,3.55850233345813,1.5914106231408,"Solyc01g007890",2.5716229029207,"wt.Solyc01g007890"
"126","Bmbr","tf2",3,3.0435330227571,2.44789618615437,1.41329352202448,"Solyc01g007890",1.60574701934273,"tf2.Solyc01g007890"
"127","Bmbr","wt",4,2.78217377558618,1.519158390637,0.7595791953185,"Solyc01g007890",1.47621253395157,"wt.Solyc01g007890"
"128","Bother","tf2",4,7.11536938554594,0.73081429879487,0.365407149397435,"Solyc01g007890",2.83093865441337,"tf2.Solyc01g007890"
"129","Bother","wt",4,7.53829964373042,8.97224088987884,4.48612044493942,"Solyc01g007890",2.91423914256556,"wt.Solyc01g007890"
"130","Cmbr","tf2",4,2.69992795788521,1.29178430683171,0.645892153415854,"Solyc01g007890",1.43292091239152,"tf2.Solyc01g007890"
"131","Cmbr","wt",6,1.0966401177673,1.13625733184283,0.463875113251866,"Solyc01g007890",0.13309015701223,"wt.Solyc01g007890"
"132","Cother","tf2",4,8.40485593987763,7.40819388862634,3.70409694431317,"Solyc01g007890",3.07122309172732,"tf2.Solyc01g007890"
"133","Cother","wt",3,5.6328360361854,3.32396178989691,1.91909023417301,"Solyc01g007890",2.49386147739585,"wt.Solyc01g007890"
"134","Ambr","tf2",4,40.2466398423466,21.4928876471682,10.7464438235841,"Solyc01g008170",5.33079643376326,"tf2.Solyc01g008170"
"135","Ambr","wt",3,39.4791064678391,10.4064970066722,6.00819384812323,"Solyc01g008170",5.30301743247789,"wt.Solyc01g008170"
"136","Aother","tf2",4,32.772506166143,12.3122619160017,6.15613095800086,"Solyc01g008170",5.03441409719178,"tf2.Solyc01g008170"
"137","Aother","wt",5,36.7039032486374,6.55767145754332,2.9326798306354,"Solyc01g008170",5.19786158841959,"wt.Solyc01g008170"
"138","Bmbr","tf2",3,30.5819001805937,27.2407656777375,15.7274633969733,"Solyc01g008170",4.93460614501155,"tf2.Solyc01g008170"
"139","Bmbr","wt",4,48.5776305836791,7.3785393595381,3.68926967976905,"Solyc01g008170",5.60222021786771,"wt.Solyc01g008170"
"140","Bother","tf2",4,41.1435275278083,9.17612367155225,4.58806183577613,"Solyc01g008170",5.36259358657969,"tf2.Solyc01g008170"
"141","Bother","wt",4,20.7147377524248,9.05153948665755,4.52576974332878,"Solyc01g008170",4.37258565087085,"wt.Solyc01g008170"
"142","Cmbr","tf2",4,33.5662561255338,21.4973935951843,10.7486967975922,"Solyc01g008170",5.06893972723605,"tf2.Solyc01g008170"
"143","Cmbr","wt",6,39.8859300231498,15.0320883216159,6.13682435940151,"Solyc01g008170",5.31780801262216,"wt.Solyc01g008170"
"144","Cother","tf2",4,36.2940285791854,20.9200076688876,10.4600038344438,"Solyc01g008170",5.18166029743728,"tf2.Solyc01g008170"
"145","Cother","wt",3,41.6696884933813,14.5560409929068,8.40393418558998,"Solyc01g008170",5.38092640993301,"wt.Solyc01g008170"
"146","Ambr","tf2",4,15.403683167393,2.56948913063782,1.28474456531891,"Solyc01g008180",3.94520344918451,"tf2.Solyc01g008180"
"147","Ambr","wt",3,26.9930109238846,13.4553044914564,7.76842367017073,"Solyc01g008180",4.75451400547062,"wt.Solyc01g008180"
"148","Aother","tf2",4,30.2569381641531,17.7785018234877,8.88925091174384,"Solyc01g008180",4.91919409701941,"tf2.Solyc01g008180"
"149","Aother","wt",5,30.4698712261919,8.36465089386034,3.74078560134522,"Solyc01g008180",4.92931149771035,"wt.Solyc01g008180"
"150","Bmbr","tf2",3,17.9960741411997,11.110040851507,6.41438507632529,"Solyc01g008180",4.16961031062227,"tf2.Solyc01g008180"
"151","Bmbr","wt",4,16.9439546128818,6.93675000987814,3.46837500493907,"Solyc01g008180",4.08269872484382,"wt.Solyc01g008180"
"152","Bother","tf2",4,32.5185171078122,9.79055512307648,4.89527756153824,"Solyc01g008180",5.02318956478543,"tf2.Solyc01g008180"
"153","Bother","wt",4,27.6670074080005,9.65707291602519,4.82853645801259,"Solyc01g008180",4.79009469867897,"wt.Solyc01g008180"
"154","Cmbr","tf2",4,23.8221157842772,18.3209750262597,9.16048751312984,"Solyc01g008180",4.57422964813674,"tf2.Solyc01g008180"
"155","Cmbr","wt",6,21.2579185635012,11.3231056922857,4.62263854161727,"Solyc01g008180",4.40992843939885,"wt.Solyc01g008180"
"156","Cother","tf2",4,39.9919013498148,8.2744472199915,4.13722360999575,"Solyc01g008180",5.32163596825197,"tf2.Solyc01g008180"
"157","Cother","wt",3,44.2291095698475,17.6306403793705,10.1790549690151,"Solyc01g008180",5.46692429276272,"wt.Solyc01g008180"
"158","Ambr","tf2",4,9.41968975656369,5.99299454327412,2.99649727163706,"Solyc01g008250",3.23567954454743,"tf2.Solyc01g008250"
"159","Ambr","wt",3,3.1766275677992,1.43259384080463,0.827108439627953,"Solyc01g008250",1.66749595640797,"wt.Solyc01g008250"
"160","Aother","tf2",4,2.16076683065194,1.98704646362084,0.993523231810418,"Solyc01g008250",1.11154339870755,"tf2.Solyc01g008250"
"161","Aother","wt",5,8.30842847724321,5.19913412451126,2.32512346530921,"Solyc01g008250",3.05457561989632,"wt.Solyc01g008250"
"162","Bmbr","tf2",3,2.0948673435104,1.72495113878707,0.995901004317665,"Solyc01g008250",1.06685888883194,"tf2.Solyc01g008250"
"163","Bmbr","wt",4,3.74280227390933,2.0507388585178,1.0253694292589,"Solyc01g008250",1.90411883504386,"wt.Solyc01g008250"
"164","Bother","tf2",4,8.48647639484781,3.99144734068483,1.99572367034241,"Solyc01g008250",3.08516566769219,"tf2.Solyc01g008250"
"165","Bother","wt",4,4.81961261274812,4.01758626512822,2.00879313256411,"Solyc01g008250",2.26891719124211,"wt.Solyc01g008250"
"166","Cmbr","tf2",4,6.62488865947472,8.71779925455592,4.35889962727796,"Solyc01g008250",2.72789620825777,"tf2.Solyc01g008250"
"167","Cmbr","wt",6,5.19533952358356,2.18348161092478,0.891402634919322,"Solyc01g008250",2.37721803459327,"wt.Solyc01g008250"
"168","Cother","tf2",4,7.37397832543752,4.09289468805806,2.04644734402903,"Solyc01g008250",2.88244317587982,"tf2.Solyc01g008250"
"169","Cother","wt",3,7.35326873577387,1.90295399444567,1.09867100094868,"Solyc01g008250",2.87838571125307,"wt.Solyc01g008250"
"170","Ambr","tf2",4,88.8124093819791,35.9968623397041,17.998431169852,"Solyc01g008600",6.4726893672176,"tf2.Solyc01g008600"
"171","Ambr","wt",3,128.607804154704,18.2788919497342,10.5533231876671,"Solyc01g008600",7.00683438044739,"wt.Solyc01g008600"
"172","Aother","tf2",4,117.449243198166,32.1096123576506,16.0548061788253,"Solyc01g008600",6.87589360693267,"tf2.Solyc01g008600"
"173","Aother","wt",5,139.426878153543,46.389826274098,20.7461610026578,"Solyc01g008600",7.12336489474684,"wt.Solyc01g008600"
"174","Bmbr","tf2",3,114.002571349592,63.0726116804028,36.4149893321733,"Solyc01g008600",6.83292255479166,"tf2.Solyc01g008600"
"175","Bmbr","wt",4,131.353205667584,36.3521116775447,18.1760558387723,"Solyc01g008600",7.0373075995671,"wt.Solyc01g008600"
"176","Bother","tf2",4,137.371758943615,39.0943845863728,19.5471922931864,"Solyc01g008600",7.10194163337956,"tf2.Solyc01g008600"
"177","Bother","wt",4,104.970570048039,53.3885204808701,26.694260240435,"Solyc01g008600",6.71384109483662,"wt.Solyc01g008600"
"178","Cmbr","tf2",4,97.6347742411964,53.9252428874662,26.9626214437331,"Solyc01g008600",6.60932317392625,"tf2.Solyc01g008600"
"179","Cmbr","wt",6,124.538167728294,27.5179773800906,11.2341672224453,"Solyc01g008600",6.96044414856256,"wt.Solyc01g008600"
